1 6.300746248328123e-05
z 1.5446873474867896e-05
x_c -0.4899096102978
y_c 5.907620694897374
cos(k_0 z) -0.0009199806306429675
cos(k_1 z) -0.001146736284177848
cos(k_2 z) -0.0014203382088656862
sin(k_0 z) 0.0017537831973047646
sin(k_1 z) 0.0014869574898438605
sin(k_2 z) -0.0017771142430085072
1 cos(k_0 z) -0.0009199806336114075
1 cos(k_1 z) -0.0011467362751548709
1 cos(k_2 z) -0.0014203382075206664
1 sin(k_0 z) 0.0017537831944804128
1 sin(k_1 z) 0.0014869574819805949
1 sin(k_2 z) -0.0017771142493358937
z cos(k_0 z) -0.0002815474919072509
z cos(k_1 z) 0.00047861763654504565
z cos(k_2 z) 0.0005006313273349189
z sin(k_0 z) -0.00025790203900585585
z sin(k_1 z) -7.069578715898278e-05
z sin(k_2 z) 3.2388291236380073e-06
x_c cos(k_0 z) 0.07785089321401298
x_c cos(k_1 z) 0.06057960539355098
x_c cos(k_2 z) 0.08752527698485159
x_c sin(k_0 z) -0.10520020636241822
x_c sin(k_1 z) 0.04604029004919235
x_c sin(k_2 z) -0.013972333079083774
y_c cos(k_0 z) -0.07271342137217046
y_c cos(k_1 z) 0.005469399693071739
y_c cos(k_2 z) -0.018766005587132668
y_c sin(k_0 z) -0.04039574274008663
y_c sin(k_1 z) 0.12096998698855906
y_c sin(k_2 z) -0.0970908898109571
