1 -0.0003440573622445108
z 3.4061673019235135e-05
x_c -2.62213847981194
y_c 0.8258647327276475
cos(k_0 z) -0.001216131023737005
cos(k_1 z) 0.0016885853198929871
cos(k_2 z) 0.001476461139045316
sin(k_0 z) 6.676217288670334e-06
sin(k_1 z) 0.0015202059968849881
sin(k_2 z) -0.0013324465579722664
1 cos(k_0 z) -0.0012161310140546132
1 cos(k_1 z) 0.0016885853296318132
1 cos(k_2 z) 0.0014764611528045033
1 sin(k_0 z) 6.6762122336583686e-06
1 sin(k_1 z) 0.0015202059947131143
1 sin(k_2 z) -0.0013324465609769601
z cos(k_0 z) 5.795854638635016e-05
z cos(k_1 z) 2.8462696527617795e-05
z cos(k_2 z) 3.249246605653408e-05
z sin(k_0 z) -0.00026399804417068495
z sin(k_1 z) -0.00047235020174411237
z sin(k_2 z) 0.0003947723939733906
x_c cos(k_0 z) 0.18438584128450156
x_c cos(k_1 z) 0.045088786043851345
x_c cos(k_2 z) 0.026584359673207693
x_c sin(k_0 z) 0.12339495749396934
x_c sin(k_1 z) 0.0379290308322858
x_c sin(k_2 z) -0.005409659947269023
y_c cos(k_0 z) 0.08792810101124034
y_c cos(k_1 z) 0.043769865197858436
y_c cos(k_2 z) -0.02226602804354009
y_c sin(k_0 z) -0.16450792536676262
y_c sin(k_1 z) 0.023923920622650526
y_c sin(k_2 z) -0.0359636180805096
