1 0.0
z 0.0
x_c 0.0
y_c 3.760654397434711
cos(k_0 z) -9.18326472370987e-05
cos(k_1 z) -0.0013369640699096646
cos(k_2 z) -0.0013501146176772964
sin(k_0 z) 1.4164099242005618e-06
sin(k_1 z) 0.0015693545587269703
sin(k_2 z) -0.0016311384450724239
1 cos(k_0 z) -9.183264044008024e-05
1 cos(k_1 z) -0.0013369640541925937
1 cos(k_2 z) -0.0013501146183739596
1 sin(k_0 z) 1.4163956998893256e-06
1 sin(k_1 z) 0.001569354559634873
1 sin(k_2 z) -0.0016311384444611483
z cos(k_0 z) 0.0
z cos(k_1 z) 0.0005566007805239978
z cos(k_2 z) 0.0004686022432641423
z sin(k_0 z) 0.0001668497468144905
z sin(k_1 z) 0.0
z sin(k_2 z) 0.0
x_c cos(k_0 z) 0.03453261496548977
x_c cos(k_1 z) 0.07077635939504819
x_c cos(k_2 z) 0.0834750309806313
x_c sin(k_0 z) -0.02095413178066785
x_c sin(k_1 z) 0.0
x_c sin(k_2 z) -0.04222706314137214
y_c cos(k_0 z) 0.0459657322067583
y_c cos(k_1 z) 0.013543716594641032
y_c cos(k_2 z) -0.04204985943161321
y_c sin(k_0 z) 0.024608133016475346
y_c sin(k_1 z) 0.11774017245724548
y_c sin(k_2 z) -0.10098989365302125
