1 0.0
z 0.0
x_c -2.362516409907908
y_c -0.3896659240343084
cos(k_0 z) -0.0005339114294052767
cos(k_1 z) 0.0017851153931412247
cos(k_2 z) 0.001561194257377909
sin(k_0 z) -0.0010434528948368993
sin(k_1 z) 0.0016869093851696287
sin(k_2 z) -0.0012615901852188155
1 cos(k_0 z) -0.0005339114296692132
1 cos(k_1 z) 0.0017851153932470186
1 cos(k_2 z) 0.0015611942606334212
1 sin(k_0 z) -0.0010434528962589007
1 sin(k_1 z) 0.0016869093855404927
1 sin(k_2 z) -0.001261590184773025
z cos(k_0 z) 0.00014232289229498818
z cos(k_1 z) 0.0
z cos(k_2 z) 0.0
z sin(k_0 z) 0.0
z sin(k_1 z) -0.00047565373326280413
z sin(k_2 z) 0.00039404180417984547
x_c cos(k_0 z) 0.02252531735732994
x_c cos(k_1 z) 0.0
x_c cos(k_2 z) 0.02891536293539376
x_c sin(k_0 z) 0.026704626390697872
x_c sin(k_1 z) 0.0023708141690186365
x_c sin(k_2 z) -0.02210438692578432
y_c cos(k_0 z) -0.020399554154157225
y_c cos(k_1 z) 0.0
y_c cos(k_2 z) -0.013530474103103027
y_c sin(k_0 z) -0.020025469628845077
y_c sin(k_1 z) 0.046876605412007395
y_c sin(k_2 z) -0.03275906020747707
